District,Date,Rainfall
Bastar,01-01-2014,0
Bastar,01-02-2014,0.013928571
Bastar,01-03-2014,1.031935484
Bastar,01-04-2014,1.283666667
Bastar,01-05-2014,1.417419355
Bastar,01-06-2014,5.996666667
Bastar,01-07-2014,15.63967742
Bastar,01-08-2014,10.95354839
Bastar,01-09-2014,9.906333333
Bastar,01-10-2014,3.027741935
Bastar,01-11-2014,0.070666667
Bastar,01-12-2014,0.002580645
Bastar,01-01-2015,0.122258065
Bastar,01-02-2015,0.044642857
Bastar,01-03-2015,0.120645161
Bastar,01-04-2015,2.262
Bastar,01-05-2015,1.60516129
Bastar,01-06-2015,12.20966667
Bastar,01-07-2015,4.918064516
Bastar,01-08-2015,10.75
Bastar,01-09-2015,13.21266667
Bastar,01-10-2015,0.498064516
Bastar,01-11-2015,0.034333333
Bastar,01-12-2015,0.16516129
Bastar,01-01-2016,0.022903226
Bastar,01-02-2016,0.120344828
Bastar,01-03-2016,1.453225806
Bastar,01-04-2016,0.725
Bastar,01-05-2016,1.086451613
Bastar,01-06-2016,10.79733333
Bastar,01-07-2016,12.31935484
Bastar,01-08-2016,10.68548387
Bastar,01-09-2016,9.627666667
Bastar,01-10-2016,4.176129032
Bastar,01-11-2016,0.034333333
Bastar,01-12-2016,0.001935484
Bastar,01-01-2017,0
Bastar,01-02-2017,0
Bastar,01-03-2017,0.351612903
Bastar,01-04-2017,0.366666667
Bastar,01-05-2017,1.80483871
Bastar,01-06-2017,9.046
Bastar,01-07-2017,13.13967742
Bastar,01-08-2017,11.58516129
Bastar,01-09-2017,5.505333333
Bastar,01-10-2017,4.278709677
Bastar,01-11-2017,0.086
Bastar,01-12-2017,0
Bastar,01-01-2018,0
Bastar,01-02-2018,0.003214286
Bastar,01-03-2018,0.017096774
Bastar,01-04-2018,2.555666667
Bastar,01-05-2018,1.557096774
Bastar,01-06-2018,4.607
Bastar,01-07-2018,10.70903226
Bastar,01-08-2018,15.33354839
Bastar,01-09-2018,6.123
