District,Date,Rainfall
Alirajpur,01-01-2014,0.419354839
Alirajpur,01-02-2014,0.096428571
Alirajpur,01-03-2014,1.017741935
Alirajpur,01-04-2014,0
Alirajpur,01-05-2014,0.000967742
Alirajpur,01-06-2014,0.425333333
Alirajpur,01-07-2014,10.09
Alirajpur,01-08-2014,6.034193548
Alirajpur,01-09-2014,8.3
Alirajpur,01-10-2014,0.127741935
Alirajpur,01-11-2014,0.021
Alirajpur,01-12-2014,0.065483871
Alirajpur,01-01-2015,0.047419355
Alirajpur,01-02-2015,0.096428571
Alirajpur,01-03-2015,0.644516129
Alirajpur,01-04-2015,0.284666667
Alirajpur,01-05-2015,0.110645161
Alirajpur,01-06-2015,6.737333333
Alirajpur,01-07-2015,14.09967742
Alirajpur,01-08-2015,1.716451613
Alirajpur,01-09-2015,4.144333333
Alirajpur,01-10-2015,0.172903226
Alirajpur,01-11-2015,0.216666667
Alirajpur,01-12-2015,0
Alirajpur,01-01-2016,0.127741935
Alirajpur,01-02-2016,0
Alirajpur,01-03-2016,0.01516129
Alirajpur,01-04-2016,0
Alirajpur,01-05-2016,0.486129032
Alirajpur,01-06-2016,3.729
Alirajpur,01-07-2016,8.822258065
Alirajpur,01-08-2016,9.115806452
Alirajpur,01-09-2016,6.877333333
Alirajpur,01-10-2016,1.923225806
Alirajpur,01-11-2016,0
Alirajpur,01-12-2016,0
Alirajpur,01-01-2017,0
Alirajpur,01-02-2017,0
Alirajpur,01-03-2017,0
Alirajpur,01-04-2017,0
Alirajpur,01-05-2017,0
Alirajpur,01-06-2017,5.584666667
Alirajpur,01-07-2017,9.646451613
Alirajpur,01-08-2017,5.706451613
Alirajpur,01-09-2017,3.196
Alirajpur,01-10-2017,0.428387097
Alirajpur,01-11-2017,0
Alirajpur,01-12-2017,0.488064516
Alirajpur,01-01-2018,0
Alirajpur,01-02-2018,0
Alirajpur,01-03-2018,0
Alirajpur,01-04-2018,0
Alirajpur,01-05-2018,0
Alirajpur,01-06-2018,3.513666667
Alirajpur,01-07-2018,5.904193548
Alirajpur,01-08-2018,6.392258065
Alirajpur,01-09-2018,2.939333333
Alirajpur,01-10-2018,0.013870968
Alirajpur,01-11-2018,0
Alirajpur,01-12-2018,0
Alirajpur,01-01-2019,0
Alirajpur,01-02-2019,0
Alirajpur,01-03-2019,0
Alirajpur,01-04-2019,0.226
Alirajpur,01-05-2019,0
Alirajpur,01-06-2019,3.311
Alirajpur,01-07-2019,9.321935484
Alirajpur,01-08-2019,20.65709677
Alirajpur,01-09-2019,8.772666667
Alirajpur,01-10-2019,1.996451613
Alirajpur,01-11-2019,1.218
Alirajpur,01-12-2019,0
Alirajpur,01-01-2020,0
Alirajpur,01-02-2020,0
Alirajpur,01-03-2020,0.253870968
Alirajpur,01-04-2020,0
Alirajpur,01-05-2020,0
Alirajpur,01-06-2020,6.174
Alirajpur,01-07-2020,5.249375
Alirajpur,01-08-2020,12.10516129
Alirajpur,01-09-2020,5.694
Alirajpur,01-10-2020,0.159354839
Alirajpur,01-11-2020,0
Alirajpur,01-12-2020,0.956451613
Alirajpur,01-01-2021,0.275483871
Alirajpur,01-02-2021,0.042142857
Alirajpur,01-03-2021,0.049354839
Alirajpur,01-04-2021,0.019310345
Alirajpur,01-05-2021,0.386551724
Alirajpur,01-06-2021,1.907916667
Alirajpur,01-07-2021,6.771724138
Alirajpur,01-08-2021,3.761290323
Alirajpur,01-09-2021,9.806666667
Alirajpur,01-10-2021,1.673548387
Alirajpur,01-11-2021,0.833333333
Alirajpur,01-12-2021,1.107741935
Alirajpur,01-01-2022,0.393548387
Alirajpur,01-02-2022,0
Alirajpur,01-03-2022,0.023666667
Alirajpur,01-04-2022,0
Alirajpur,01-05-2022,0
Alirajpur,01-06-2022,2.355333333
Alirajpur,01-07-2022,10.26068966
Alirajpur,01-08-2022,7.707741935
Alirajpur,01-09-2022,5.000666667
Alirajpur,01-10-2022,2.520645161
Alirajpur,01-11-2022,0
Alirajpur,01-12-2022,0.092258065
Alirajpur,01-01-2023,0.000333333
Alirajpur,01-02-2023,0
Alirajpur,01-03-2023,0.077741935
Alirajpur,01-04-2023,0.311
Alirajpur,01-05-2023,0.286451613
Alirajpur,01-06-2023,2.738275862
Alirajpur,01-07-2023,13.07806452
Alirajpur,01-08-2023,2.490645161
Alirajpur,01-09-2023,14.57066667
Alirajpur,01-10-2023,0.000322581
Alirajpur,01-11-2023,2.103333333
Alirajpur,01-12-2023,0.033870968
Anuppur,01-01-2014,0.234516129
Anuppur,01-02-2014,3.016071429
Anuppur,01-03-2014,1.258064516
Anuppur,01-04-2014,1.973333333
Anuppur,01-05-2014,0.225483871
Anuppur,01-06-2014,4.598
Anuppur,01-07-2014,10.74064516
Anuppur,01-08-2014,14.90967742
Anuppur,01-09-2014,8.301333333
Anuppur,01-10-2014,5.316451613
Anuppur,01-11-2014,0
Anuppur,01-12-2014,0.323548387
Anuppur,01-01-2015,0.626451613
Anuppur,01-02-2015,0.279285714
Anuppur,01-03-2015,1.482903226
Anuppur,01-04-2015,0.710666667
Anuppur,01-05-2015,0.246129032
Anuppur,01-06-2015,4.118
Anuppur,01-07-2015,9.241612903
Anuppur,01-08-2015,8.251612903
Anuppur,01-09-2015,4.969333333
Anuppur,01-10-2015,1.378064516
Anuppur,01-11-2015,0
Anuppur,01-12-2015,0.007419355
Anuppur,01-01-2016,0.527741935
Anuppur,01-02-2016,0.110344828
Anuppur,01-03-2016,0.80516129
Anuppur,01-04-2016,0.003
Anuppur,01-05-2016,1.241935484
Anuppur,01-06-2016,3.773
Anuppur,01-07-2016,11.56032258
Anuppur,01-08-2016,13.86516129
Anuppur,01-09-2016,7.181666667
Anuppur,01-10-2016,1.554193548
Anuppur,01-11-2016,0
Anuppur,01-12-2016,0
Anuppur,01-01-2017,0.012580645
Anuppur,01-02-2017,0.509642857
Anuppur,01-03-2017,0.166774194
Anuppur,01-04-2017,0
Anuppur,01-05-2017,0.30516129
Anuppur,01-06-2017,6.106333333
Anuppur,01-07-2017,9.088064516
Anuppur,01-08-2017,8.21483871
Anuppur,01-09-2017,5.713
Anuppur,01-10-2017,0.862580645
Anuppur,01-11-2017,0
Anuppur,01-12-2017,0
Anuppur,01-01-2018,0
Anuppur,01-02-2018,0.332142857
Anuppur,01-03-2018,0.011935484
Anuppur,01-04-2018,0.802666667
Anuppur,01-05-2018,0.608387097
Anuppur,01-06-2018,5.547333333
Anuppur,01-07-2018,12.58967742
Anuppur,01-08-2018,9
Anuppur,01-09-2018,5.238333333
Anuppur,01-10-2018,0.039677419
Anuppur,01-11-2018,0
